date,zone,egg_color,egg_size,source_name,source_url,unit,price_clp,includes_iva,includes_freight,freight_clp,is_promo,notes
2021-10-31,Región Metropolitana de Santiago,color,XL,anchor,,docena,828.0,False,False,,False,from anchors (anchors_wholesale.csv)
2021-10-31,Región Metropolitana de Santiago,color,L,anchor,,docena,660.0,False,False,,False,from anchors (anchors_wholesale.csv)
2021-10-31,Región Metropolitana de Santiago,color,M,anchor,,docena,6000.0,False,False,,False,from anchors (anchors_wholesale.csv)
2021-10-31,Región Metropolitana de Santiago,color,S,anchor,,docena,5760.0,False,False,,False,from anchors (anchors_wholesale.csv)
2021-09-30,Región Metropolitana de Santiago,blanco,XL,anchor,,docena,948.0,False,False,,False,from anchors (anchors_wholesale.csv)
2021-09-30,Región Metropolitana de Santiago,blanco,L,anchor,,docena,792.0,False,False,,False,from anchors (anchors_wholesale.csv)
2021-09-30,Región Metropolitana de Santiago,blanco,M,anchor,,docena,720.0,False,False,,False,from anchors (anchors_wholesale.csv)
2021-09-30,Región Metropolitana de Santiago,blanco,S,anchor,,docena,696.0,False,False,,False,from anchors (anchors_wholesale.csv)
2021-09-30,Región Metropolitana de Santiago,color,XL,anchor,,docena,900.0,False,False,,False,from anchors (anchors_wholesale.csv)
2021-09-30,Región Metropolitana de Santiago,color,L,anchor,,docena,792.0,False,False,,False,from anchors (anchors_wholesale.csv)
2021-09-30,Región Metropolitana de Santiago,color,M,anchor,,docena,696.0,False,False,,False,from anchors (anchors_wholesale.csv)
2021-09-30,Región Metropolitana de Santiago,color,S,anchor,,docena,672.0,False,False,,False,from anchors (anchors_wholesale.csv)
2021-07-31,Región Metropolitana de Santiago,blanco,XL,anchor,,docena,984.0,False,False,,False,from anchors (anchors_wholesale.csv)
2021-07-31,Región Metropolitana de Santiago,blanco,L,anchor,,docena,840.0,False,False,,False,from anchors (anchors_wholesale.csv)
2021-07-31,Región Metropolitana de Santiago,blanco,M,anchor,,docena,720.0,False,False,,False,from anchors (anchors_wholesale.csv)
2021-07-31,Región Metropolitana de Santiago,blanco,S,anchor,,docena,696.0,False,False,,False,from anchors (anchors_wholesale.csv)
2021-07-31,Región Metropolitana de Santiago,color,XL,anchor,,docena,1176.0,False,False,,False,from anchors (anchors_wholesale.csv)
2021-07-31,Región Metropolitana de Santiago,color,L,anchor,,docena,1032.0,False,False,,False,from anchors (anchors_wholesale.csv)
2021-07-31,Región Metropolitana de Santiago,color,M,anchor,,docena,780.0,False,False,,False,from anchors (anchors_wholesale.csv)
2021-07-31,Región Metropolitana de Santiago,color,S,anchor,,docena,696.0,False,False,,False,from anchors (anchors_wholesale.csv)
2021-01-31,Región Metropolitana de Santiago,blanco,XL,anchor,,docena,648.0,False,False,,False,from anchors (anchors_wholesale.csv)
